player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,base,Amount
2193,Karn Sharma,Royal Challengers Bangalore,2022,0,0,1,0,0,0,30.16666667,6,148.3606557,36.2,1,2,5.5,22,24,0,0,0,0,0.5,0.5
234,Kartik Tyagi,Sunrisers Hyderabad,2022,0,0,1,0,0,1,1.333333333,3,66.66666667,4,0.9,10,9.615720524,40.77777778,25.44444444,0,23.49866667,18.55286915,15.50769231,0.2,4
234,Kartik Tyagi,Rajasthan Royals,2020,0,0,1,0,0,1,1.333333333,3,66.66666667,4,0.9,10,9.615720524,40.77777778,25.44444444,0,23.49866667,18.55286915,15.50769231,0.2,1.3
166,Karun Nair,Rajasthan Royals,2022,0,1,0,0,1,0,24.84,50,144.2508711,28.22727273,0,1,9,0,0,104.4453895,136.2385238,0,0,0.5,1.4
166,Karun Nair,Kolkata Knight Riders,2021,0,1,0,0,1,0,24.84,50,144.2508711,28.22727273,0,1,9,0,0,104.4453895,136.2385238,0,0,0.5,0.5
46,Kedar Jadhav,Sunrisers Hyderabad,2021,0,1,1,0,1,0,20.29411765,34,112.5611746,26.53846154,0,0,0,0,0,61.02423529,60.89038095,0,0,1,2
2145,Kona Srikar Bharat,Royal Challengers Bangalore,2021,0,0,0,1,0,0,24.81818182,11,135.1485149,24.81818182,0,0,0,0,0,169.7332712,0,0,0,0.2,0.2
4412,Krishnappa Gowtham,Lucknow Super Giants,2022,0,1,1,0,0,0,9,2,120,18,1.6,5,9.9375,19.875,12,0,48.52475,10.52300729,26.31853786,0.5,0.9
4412,Krishnappa Gowtham,Chennai Super Kings,2021,0,1,1,0,0,1,9,2,120,18,1.6,5,9.9375,19.875,12,0,48.52475,10.52300729,26.31853786,0.5,9.25
143,Krunal Pandya,Lucknow Super Giants,2022,0,1,1,0,1,0,13.703125,64,128.7812041,19.48888889,0.7125,80,7.641655886,34.54385965,27.12280702,18.818,234.4734259,14.34025597,12.11962597,2,8.25
2411,Kuldeep Sen,Rajasthan Royals,2022,0,0,1,0,0,0,0.333333333,3,14.28571429,1,0.666666667,12,8.368421053,46.375,33.25,0,0,8.567228178,10.43351193,0.2,0.2
64,Kuldeep Yadav,Delhi Capitals,2022,0,0,1,0,1,0,5.785714286,14,85.26315789,13.5,1.214285714,56,7.642796967,22.23529412,17.45588235,0,53.04196226,15.77575997,12.42700592,1,2
4446,Kuldip Yadav,Rajasthan Royals,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
4446,Kuldip Yadav,Rajasthan Royals,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
