Name,Base,Sold,Team,Prev_team,Nationality,Role
ANIRUDDHA JOSHI,0.2,0,Nil,DC,NA,NA
ANKUSH BAINS,0.2,0,Nil,Nil,NA,NA
ANUJ RAJ,0.2,0,Nil,Nil,NA,NA
APOORV WANKHADE,0.2,0,Nil,Nil,NA,NA
AQUIB NABI,0.2,0,Nil,Nil,NA,NA
ARJIT GUPTA,0.2,0,Nil,Nil,NA,NA
ARPIT GULERIA,0.2,0,Nil,Nil,NA,NA
ARUN CHAPRANA,0.2,0,Nil,Nil,NA,NA
ARUN KARTHIK,0.4,0,Nil,Nil,NA,NA
ARZAN NAGWASWALLA,0.2,0,Nil,Nil,NA,NA
ASHTON AGAR,2,0,Nil,Nil,NA,NA
ASHUTOSH SHARMA,0.2,0,Nil,Nil,NA,NA
ATHARVA ANKOLEKAR,0.2,0,Nil,Nil,NA,NA
ATIT SHETH,0.2,0,Nil,Nil,NA,NA
AVISHKA FERNANDO,0.5,0,Nil,Nil,NA,NA
AZIM KAZI,0.2,0,Nil,Nil,NA,NA
BABA APARAJITH,0.2,0,Nil,Nil,NA,NA
BABASHAFI KHAN PATHAN,0.2,0,Nil,Nil,NA,NA
BANDARU AYYAPPA,0.2,0,Nil,Nil,NA,NA
BARINDER SRAN,0.5,0,Nil,Nil,NA,NA
BAVANAKA SANDEEP,0.2,0,Nil,Nil,NA,NA
BEN CUTTING,0.75,0,Nil,KKR,NA,NA
BEN DWARSHUIS,0.3,0,Nil,DC,NA,NA
BEN MCDERMOTT,0.5,0,Nil,Nil,NA,NA
BEYERS SWANEPOEL,0.2,0,Nil,Nil,NA,NA
BHARAT SHARMA,0.2,0,Nil,Nil,NA,NA
BHUPEN LALWANI,0.2,0,Nil,Nil,NA,NA
BILLY STANLAKE,0.75,0,Nil,Nil,NA,NA
BLAIR TICKNER,0.5,0,Nil,Nil,NA,NA
BLESSING MUZARABANI,0.5,0,Nil,Nil,NA,NA
BR SHARATH,0.2,0,Nil,Nil,NA,NA
BRAD WHEAL,0.5,0,Nil,Nil,NA,NA
BRANDON KING,0.5,0,Nil,Nil,NA,NA
CAM FLETCHER,0.2,0,Nil,Nil,NA,NA
CARLOS BRATHWAITE,0.75,0,Nil,Nil,NA,NA
CHAITANYA BISHNOI,0.2,0,Nil,Nil,NA,NA
CHARITH ASALANKA,0.5,0,Nil,Nil,NA,NA
CHEEPURAPALLI STEPHEN,0.2,0,Nil,Nil,NA,NA
CHETESHWAR PUJARA,0.5,0,Nil,CSK,NA,NA
CHINTAL GANDHI,0.2,0,Nil,Nil,NA,NA
CHIRAG GANDHI,0.2,0,Nil,Nil,NA,NA
CHRIS GREEN,0.4,0,Nil,Nil,NA,NA
CHRIS LYNN,1.5,0,Nil,MI,NA,NA
