Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Royal Challengers Bangalore,KW Richardson,2016,4,1,1,1,2,0,1,100,0,0,0,0,0,4,14,0,136,7,19.42,9.71,12,0,0,2,0,20000000
Chennai Super Kings,L Ngidi,2018,7,0,0,0,2,0,0,0,0,0,0,0,0,7,26,2,156,11,14.18,6,14.1,1,0,1,0,5000000
Delhi Daredevils,LE Plunkett,2018,7,2,1,1,2,1,3,33.33,0,0,1,0,0,7,25,0,225,4,56.25,9,37.5,0,0,2,0,10000000
Rising Pune Supergiant,LH Ferguson,2017,4,1,1,1,2,0,1,100,0,0,0,0,0,4,13,1,93,3,31,7.15,26,0,0,0,0,5000000
Kolkata Knight Riders,LH Ferguson,2019,5,0,0,0,2,0,0,0,0,0,0,0,0,5,17,0,183,2,91.5,10.76,51,0,0,0,0,16000000
Mumbai Indians,LMP Simmons,2016,1,1,0,8,2,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20000000
Mumbai Indians,LMP Simmons,2017,7,7,0,137,2,19.57,112,122.32,0,2,1,10,8,0,0,0,0,0,0,0,0,0,0,2,0,20000000
Rajasthan Royals,LS Livingstone,2019,4,4,1,70,2,23.33,48,145.83,0,0,0,6,5,1,1,0,13,0,0,13,0,0,0,4,0,7500000
Rising Pune Supergiants,M Ashwin,2016,10,1,0,0,2,0,1,0,0,0,1,0,0,10,28.3,0,241,7,34.42,8.45,24.4,0,0,0,0,10000000
Royal Challengers Bangalore,M Ashwin,2018,2,1,0,1,2,1,2,50,0,0,0,0,0,2,7,0,53,3,17.66,7.57,14,0,0,0,0,22000000
Kings XI Punjab,M Ashwin,2019,10,3,2,3,2,3,5,60,0,0,0,0,0,10,34,0,255,5,51,7.5,40.8,0,0,3,0,2000000
Mumbai Indians,M Markande,2018,14,6,4,21,2,10.5,24,87.5,0,0,0,2,0,14,44,0,368,15,24.53,8.36,17.6,1,0,3,0,2000000
Mumbai Indians,M Markande,2019,3,2,1,6,2,6,5,120,0,0,0,1,0,3,6,0,59,1,59,9.83,36,0,0,0,0,5000000
Kolkata Knight Riders,M Morkel,2016,10,2,2,1,2,0,1,100,0,0,0,0,0,10,35.3,0,297,10,29.7,8.36,21.3,0,0,0,0,28000000
Kolkata Knight Riders,M Prasidh Krishna,2018,7,2,2,1,2,0,5,20,0,0,0,0,0,7,28,0,260,10,26,9.28,16.8,1,0,1,0,50000000
Kolkata Knight Riders,M Prasidh Krishna,2019,11,1,0,0,2,0,2,0,0,0,1,0,0,11,40.2,0,377,4,94.25,9.34,60.5,0,0,2,0,80000000
Kings XI Punjab,M Vijay,2016,14,14,1,453,2,34.84,364,124.45,0,5,0,50,10,1,1,0,8,0,0,8,0,0,0,2,0,30000000
Chennai Super Kings,M Vijay,2018,1,1,0,12,2,12,10,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20000000
