pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
220,"2021-02-14 23:33:10",NULL,0,18,NULL,2,0,0,2,9,16,NULL,NULL,1,0,19,119
221,"2021-02-14 23:33:10",NULL,0,24,NULL,2,0,0,3,13,21,NULL,NULL,2,1,19,123
222,"2021-02-14 23:33:10",NULL,0,22,NULL,2,1,0,4,16,12,NULL,NULL,6,2,19,108
223,"2021-02-14 23:33:10",NULL,0,12,NULL,2,0,0,5,4,9,NULL,NULL,0,0,19,143
224,"2021-02-14 23:33:10",NULL,0,6,NULL,2,0,0,6,0,7,NULL,NULL,0,0,19,118
225,"2021-02-14 23:33:13",NULL,0,24,NULL,1,0,0,1,11,31,NULL,NULL,0,1,20,144
226,"2021-02-14 23:33:13",NULL,0,24,NULL,1,0,1,2,10,28,NULL,NULL,2,1,20,113
227,"2021-02-14 23:33:13",NULL,0,24,NULL,1,0,0,3,9,21,NULL,NULL,4,1,20,126
228,"2021-02-14 23:33:13",NULL,0,24,NULL,1,0,0,4,8,22,NULL,NULL,1,0,20,109
229,"2021-02-14 23:33:13",NULL,0,24,NULL,1,0,0,5,4,46,NULL,NULL,1,0,20,120
230,"2021-02-14 23:33:13",NULL,0,12,NULL,2,0,0,1,5,24,NULL,NULL,1,2,20,52
231,"2021-02-14 23:33:13",NULL,0,24,NULL,2,0,1,2,13,24,NULL,NULL,2,1,20,10
232,"2021-02-14 23:33:13",NULL,0,24,NULL,2,0,0,3,11,36,NULL,NULL,0,2,20,39
233,"2021-02-14 23:33:13",NULL,0,18,NULL,2,0,0,4,7,27,NULL,NULL,1,1,20,26
234,"2021-02-14 23:33:13",NULL,0,11,NULL,2,0,0,5,4,14,NULL,NULL,1,0,20,32
235,"2021-02-14 23:33:13",NULL,0,24,NULL,2,0,0,6,10,22,NULL,NULL,1,0,20,12
236,"2021-02-14 23:33:16",NULL,0,24,NULL,1,0,0,1,13,19,NULL,NULL,0,0,21,92
237,"2021-02-14 23:33:16",NULL,0,24,NULL,1,0,2,2,10,35,NULL,NULL,1,1,21,81
238,"2021-02-14 23:33:16",NULL,0,24,NULL,1,0,0,3,13,22,NULL,NULL,0,1,21,93
239,"2021-02-14 23:33:16",NULL,0,24,NULL,1,0,0,4,5,33,NULL,NULL,0,0,21,64
240,"2021-02-14 23:33:16",NULL,0,24,NULL,1,0,0,5,9,25,NULL,NULL,2,1,21,55
241,"2021-02-14 23:33:16",NULL,0,18,NULL,2,0,0,1,7,31,NULL,NULL,0,1,21,185
242,"2021-02-14 23:33:16",NULL,0,6,NULL,2,0,0,2,1,22,NULL,NULL,0,0,21,174
243,"2021-02-14 23:33:16",NULL,0,18,NULL,2,0,0,3,12,14,NULL,NULL,0,0,21,178
