Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Mitchell McClenaghan,Bowler,Mumbai Indians,2015,Overseas,0.3,0.4137
Murali Vijay,Batsman,Kings XI Punjab,2015,Indian,3,4.1369
Nikhil Shankar Naik,Wicket Keeper,Kings XI Punjab,2015,Indian,0.3,0.4137
Nitish Rana,All-Rounder,Mumbai Indians,2015,Indian,0.1,0.1379
Pardeep Sahu,All-Rounder,Rajasthan Royals,2015,Indian,0.1,0.1379
Pragyan Ojha,Bowler,Mumbai Indians,2015,Indian,0.5,0.6895
Prasanth Padmanabhan,All-Rounder,Sunrisers Hyderabad,2015,Indian,0.1,0.1379
Pratyush Singh,All-Rounder,Chennai Super Kings,2015,Indian,0.1,0.1379
Praveen Kumar,Bowler,Sunrisers Hyderabad,2015,Indian,2.2,3.0337
Rahul Sharma,Bowler,Chennai Super Kings,2015,Indian,0.3,0.4137
Ravi Bopara,All-Rounder,Sunrisers Hyderabad,2015,Indian,1,1.379
Sagar Trivedi,All-Rounder,Rajasthan Royals,2015,Indian,0.1,0.1379
Sarfaraz Naushad Khan,Batsman,Royal Challengers Bangalore,2015,Indian,0.5,0.6895
Sean Abbott,Bowler,Royal Challengers Bangalore,2015,Overseas,1,1.379
Sheldon Jackson,Batsman,Kolkata Knight Riders,2015,Indian,0.15,0.2068
Shishir Bhavane,Batsman,Royal Challengers Bangalore,2015,Indian,0.1,0.1379
Shreyas Iyer,Batsman,Delhi Daredevils,2015,Indian,2.6,3.5853
Siddarth Kaul,Bowler,Sunrisers Hyderabad,2015,Indian,0.1,0.1379
Siddhesh Dinesh Lad,All-Rounder,Mumbai Indians,2015,Indian,0.1,0.1379
Subramaniam Badrinath,Batsman,Royal Challengers Bangalore,2015,Indian,0.3,0.4137
Sumit Narwal,All-Rounder,Kolkata Knight Riders,2015,Indian,0.1,0.1379
Travis Head,Batsman,Delhi Daredevils,2015,Overseas,0.3,0.4137
Trent Boult,Bowler,Sunrisers Hyderabad,2015,Overseas,3.8,5.2401
Vaibhav Rawal,All-Rounder,Kolkata Knight Riders,2015,Indian,0.1,0.1379
Yogesh Gowalkar,All-Rounder,Kings XI Punjab,2015,Indian,0.1,0.1379
Yuvraj Singh,Batsman,Delhi Daredevils,2015,Indian,16,22.0634
Zaheer Khan,Bowler,Delhi Daredevils,2015,Indian,4,5.5159
Aaron Finch,Batsman,Gujarat Lions,2016,Overseas,1,1.3196
Abhimanyu Mithun,Bowler,Sunrisers Hyderabad,2016,Indian,0.3,0.3959
Adam Zampa,Bowler,Rising Pune Supergiant,2016,Overseas,0.3,0.3959
Aditya Tare,Wicket Keeper,Sunrisers Hyderabad,2016,Indian,1.2,1.5835
Akhil Arvind Herwadkar,All-Rounder,Delhi Daredevils,2016,Indian,0.1,0.132
Akshay Karnewar,All-Rounder,Royal Challengers Bangalore,2016,Indian,0.1,0.132
Akshdeep Nath,All-Rounder,Gujarat Lions,2016,Indian,0.1,0.132
Amit Mishra,Bowler,Gujarat Lions,2016,Indian,0.1,0.132
Andrew Tye,All-Rounder,Gujarat Lions,2016,Overseas,0.5,0.6598
Ankit Sharma,All-Rounder,Rising Pune Supergiant,2016,Indian,0.1,0.132
Ankit Singh Rajpoot,Bowler,Kolkata Knight Riders,2016,Indian,1.5,1.9794
Ankush Bains,Wicket Keeper,Rising Pune Supergiant,2016,Indian,0.1,0.132
Armaan Jaffer,Batsman,Kings XI Punjab,2016,Indian,0.1,0.132
Ashish Nehra,Bowler,Sunrisers Hyderabad,2016,Indian,5.5,7.2577
Ashok Dinda,Bowler,Rising Pune Supergiant,2016,Indian,0.5,0.6598
Baba Aparajith,All-Rounder,Rising Pune Supergiant,2016,Indian,0.1,0.132
Barinder Singh Sran,Bowler,Sunrisers Hyderabad,2016,Indian,1.2,1.5835
Ben Cutting,All-Rounder,Sunrisers Hyderabad,2016,Overseas,0.5,0.6598
Carlos Brathwaite,All-Rounder,Delhi Daredevils,2016,Overseas,4.2,5.5422
Chama Milind,Bowler,Delhi Daredevils,2016,Indian,0.1,0.132
Christopher Morris,All-Rounder,Delhi Daredevils,2016,Overseas,7,9.2371
Colin Munro,All-Rounder,Kolkata Knight Riders,2016,Overseas,0.3,0.3959
Dale Steyn,Bowler,Gujarat Lions,2016,Overseas,2.3,3.035
Deepak Chahar,All-Rounder,Rising Pune Supergiant,2016,Indian,0.1,0.132
Deepak Hooda,All-Rounder,Sunrisers Hyderabad,2016,Indian,4.2,5.5422
Deepak Punia,All-Rounder,Mumbai Indians,2016,Indian,0.1,0.132
Dhawal Kulkarni,Bowler,Gujarat Lions,2016,Indian,2,2.6392
Dinesh Karthik,Wicket Keeper,Gujarat Lions,2016,Indian,2.3,3.035
Dwayne Smith,All-Rounder,Gujarat Lions,2016,Overseas,2.3,3.035
Eklavya Dwivedi,Wicket Keeper,Gujarat Lions,2016,Indian,1,1.3196
Farhaan Behardien,All-Rounder,Kings XI Punjab,2016,Overseas,0.3,0.3959
Iqbal Abdullah,All-Rounder,Royal Challengers Bangalore,2016,Indian,0.1,0.132
Irfan Pathan,All-Rounder,Rising Pune Supergiant,2016,Indian,1,1.3196
Ishan Kishan,Wicket Keeper,Gujarat Lions,2016,Indian,0.35,0.4619
Ishant Sharma,Bowler,Rising Pune Supergiant,2016,Indian,3.8,5.0144
Ishwar Chandra Pandey,Bowler,Rising Pune Supergiant,2016,Indian,0.2,0.2639
Jaskaran Singh,Bowler,Rising Pune Supergiant,2016,Indian,0.1,0.132
Jason Holder,All-Rounder,Kolkata Knight Riders,2016,Overseas,0.7,0.9237
Jaydev Shah,All-Rounder,Gujarat Lions,2016,Indian,0.2,0.2639
Jaydev Unadkat,Bowler,Kolkata Knight Riders,2016,Indian,1.6,2.1113
Jitesh Sharma,Wicket Keeper,Mumbai Indians,2016,Indian,0.1,0.132
Joel Paris,Bowler,Delhi Daredevils,2016,Overseas,0.3,0.3959
John Hastings,Bowler,Kolkata Knight Riders,2016,Overseas,1.3,1.7155
Jos Buttler,Wicket Keeper,Mumbai Indians,2016,Overseas,3.8,5.0144
